ID,Certification,Category,Difficulty,Question Type,Question Text,Scenario Text,Option A,Option B,Option C,Option D,Correct Answer ID,Answer Explanation,Clinical Explanation,References,Status,Is Premium
mq-rbt-freq-051,RBT,A — Data Collection and Graphing,hard,application,A client's frequency of correct academic responses was 8 out of a 20-minute session on Monday and 20 out of a 50-minute session on Friday. Which statement correctly compares the two sessions using rate?,,Friday's rate was higher because the total count was higher,Monday's rate was higher because the session was shorter,"The rate was the same both days, at 0.4 correct responses per minute",The rate cannot be calculated because the sessions were different lengths,C,"Monday's rate is 8 divided by 20, which equals 0.4 per minute; Friday's rate is 20 divided by 50, which also equals 0.4 per minute, so the rates are actually equal despite the different raw counts.",This example highlights how rate can reveal that performance was actually consistent across two sessions that looked different when only raw counts were compared.,BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-052,RBT,A — Data Collection and Graphing,hard,clinical,Two RBTs independently collect frequency data on the same client during the same 30-minute session. RBT A records 10 occurrences; RBT B records 16 occurrences. What does this discrepancy most likely indicate?,,That the client's behavior changed mid-session,That frequency recording cannot be used with two observers,That one RBT should double their count to match the other,"A possible interobserver agreement problem, such as inconsistent application of the operational definition",D,A large discrepancy between two observers counting the same behavior during the same session usually points to inconsistent application of the operational definition rather than an actual change in behavior.,"When this kind of discrepancy is noticed, the RBT should report it to the supervisor so operational definitions can be reviewed or clarified.",BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-053,RBT,A — Data Collection and Graphing,hard,application,"An RBT records frequency data showing 24 occurrences of a behavior across a 3-hour school day, with sessions broken into four 45-minute blocks. What is the overall rate of the behavior per minute across the full day?",,Approximately 0.13 occurrences per minute,8 occurrences per minute,24 occurrences per minute,0.03 occurrences per minute,A,Four 45-minute blocks total 180 minutes; 24 occurrences divided by 180 minutes equals approximately 0.133 occurrences per minute.,Calculating an overall daily rate like this can help the team see the bigger picture beyond any single session's data.,BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-054,RBT,A — Data Collection and Graphing,hard,application,"A BCBA is designing a data collection system for a behavior that occurs extremely frequently, sometimes dozens of times per minute, making it difficult for an RBT to tally each instance accurately. Which adjustment to measurement is most appropriate?",,"Continue using frequency exactly as written, regardless of feasibility","Consider a sampling procedure, such as partial interval or momentary time sampling, since exhaustive frequency counting may not be feasible",Switch to measuring only the client's mood,Discontinue data collection entirely,B,"When a behavior occurs so rapidly that accurate real-time counting becomes impractical, an interval-based sampling procedure can provide a more feasible and still useful estimate of behavior occurrence.",An RBT who finds a specified procedure difficult to implement accurately should communicate this to the supervisor rather than silently under- or over-counting.,BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-055,RBT,A — Data Collection and Graphing,hard,application,"A frequency graph shows a target behavior that was decreasing steadily for four weeks, followed by a sudden spike in the fifth week that coincides with a documented interruption in service due to the RBT's absence. How should this data point be interpreted by the RBT when reporting to the supervisor?","The RBT was absent for one week, and a substitute unfamiliar with the plan covered sessions.",Remove the data point from the graph so it does not affect the trend,Conclude definitively that the substitute caused the increase without further discussion,"Report the spike along with the context of the staffing change, without independently concluding what caused it",Change the target behavior definition to make the spike disappear,C,"The RBT's role is to report relevant contextual information, such as a staffing change, alongside the data, while leaving the clinical interpretation of causation to the supervising BCBA.",Providing context without asserting a definitive cause helps the BCBA make a well-informed decision about the plan.,BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-056,RBT,A — Data Collection and Graphing,hard,application,"A client engaged in a target behavior 6 times during a 15-minute observation. If the RBT wanted to express this as occurrences per hour instead of per minute, what would the rate be?",,6 occurrences per hour,90 occurrences per hour,0.4 occurrences per hour,24 occurrences per hour,D,"The rate per minute is 6 divided by 15, which equals 0.4 per minute; multiplying by 60 minutes gives 24 occurrences per hour.","Expressing rate in different time units, such as per hour instead of per minute, can make data easier to communicate depending on the audience.",BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-057,RBT,A — Data Collection and Graphing,hard,conceptual,"A behavior plan initially specified frequency recording for 'instances of elopement,' but the BCBA later adds duration recording as well, tracking how long the client remains away from the assigned area each time. Why might combining these two measures give a more complete clinical picture than frequency alone?",,"Frequency shows how often elopement occurs, while duration shows how long each episode lasts, together capturing both how often and how much the behavior impacts safety and instruction time",Duration recording replaces the need for an operational definition,Frequency and duration always produce identical information,Combining measures is not permitted under BACB guidelines,A,"Frequency alone tells the team how many times elopement happened, but not how disruptive or risky each episode was, so adding duration provides additional clinically relevant information.",RBTs are often asked to collect multiple dimensions of the same behavior when a single measure would not capture the full clinical picture.,BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-058,RBT,A — Data Collection and Graphing,hard,case_study,An RBT is reviewing two weeks of frequency data for 'aggression toward peers.' Week 1 averaged 0.3 occurrences per minute across five 40-minute sessions. Week 2 averaged 0.5 occurrences per minute across five 25-minute sessions. Which statement most accurately reflects what the RBT should report?,Session lengths differed between the two weeks.,Aggression decreased because Week 2 had shorter sessions,"The rate of aggression increased from Week 1 to Week 2, even though total session time was shorter in Week 2",The data cannot be compared because different children were involved,The RBT should discard Week 2's data since sessions were shorter,B,"Since rate already accounts for the different session lengths, comparing the two calculated rates directly and accurately shows that the behavior increased in Week 2 despite the shorter sessions.",This kind of rate-based comparison is exactly why converting frequency to rate is valuable when session lengths are inconsistent across a reporting period.,BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-059,RBT,A — Data Collection and Graphing,hard,application,A supervisor asks an RBT to summarize four weeks of frequency data collected across sessions of varying lengths (30 to 60 minutes). What is the most appropriate way for the RBT to present this data to allow for accurate trend analysis?,,Report only the raw counts without any reference to session length,Average the raw counts without adjusting for session length,Convert each session's frequency count to a rate per minute before summarizing or graphing trends across weeks,Report only the longest session's data as representative of the month,C,"Because session lengths vary, converting each count to a rate allows for a fair, accurate comparison and trend analysis across all four weeks.",This reflects a broader RBT skill: recognizing when raw frequency data needs to be standardized before it can be meaningfully summarized or graphed.,BACB — RBT Test Content Outline (3rd Edition),published,YES
mq-rbt-freq-060,RBT,A — Data Collection and Graphing,medium,conceptual,"A client's frequency of independently putting away toys is measured across two 20-minute play sessions in the same day, both under identical conditions. Why is this comparison more valid than comparing two sessions of different lengths?",,Because frequency data can never be compared across two sessions in the same day,Because only duration data can be compared within the same day,Because the operational definition changes between equal-length sessions,Because equal observation periods allow the raw counts to be compared directly without needing to convert to rate,D,"When both sessions are the same length, the raw frequency counts already reflect a fair comparison, since the amount of opportunity for the behavior to occur was identical.",This is the simplest case for comparing frequency data: matched session lengths mean no rate conversion is necessary for a valid comparison.,BACB — RBT Test Content Outline (3rd Edition),published,YES
